"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
citron,シトロン,シトロン(の木･実). その皮の砂糖漬け
citrus,柑橘類,柑橘類(の)
city,街,市
citywide,市全域の,市全域の 
civet,ジャコウネコ,ジャコウねこ(civet cat)から採る香料
civic,市民の,市民の. 市の
civil,市民の,市民の. ていねいな. 礼儀正しい. 国家の. 文明の
civilian,民間人,一般市民の. 一般人. 文民の
civility,礼節,ていねいな言葉. 礼儀
civilization,文明,文明. 文化. 教化
civilize,教化する,教化する. 洗練する
civilized,文明化,文明開化した
civilly,礼儀正しく,ていねいに. 礼儀正しく
CL,CL,Champion Leagueの略
clack,クラック,かたっという音. (crackひび. clackカタッという音)
clad,服を着せる,服を着せる. おおう
claim,主張する,主張する. (根拠なしに)言い張る. (当然の権利として)要求する. 主張. 要求
claimant,主張者,要求者. 苦情を言う人
Claire,クレア,クレア (人名)
clairvoyant,千里眼の,千里眼の. 透視力. 透視の
clam,ハマグリ,ハマグリ. だんまり屋. 間違い. 2. CLAM(chemical low-altitude missile)化学剤推進低高度ミサイル. (cf. clam. cram詰め込む. crumbパン屑)
clamber,よじ登る,骨折ってよじ登る. よじ登る. よじ登ること
clammy,じっとりした,冷たくべとべとする. じとじとする
clamor,叫び,叫び声. 絶叫. やじ. 不満. 抗議. やかましく要求する
clamorous,喧噪,騒々しい. 喧騒
clamp,クランプ,とめ金. 留め金. 締め具
clan,一族,一族. 一味. 仲間
clandestine,秘密の,秘密の. 内々の. 人目につかない
clang,打ち鳴らす,カラーン. ガランと鳴る音. 金属がぶつかる音
clank,かちゃんと鳴る音,かちゃんと鳴る. がちゃがちゃ鳴る. ガチャーン. 剣がぶつかる音
clap,拍手,拍手する. ピシャリ. パタン. 戸が閉まる音
clapboard,下見板張り,かちんこ. 羽目板. に下見板を張る
clapped,拍手,拍手される 
clapper,舌,舌. 拍子木. 鳴子
claptrap,くだらない　,場当たりな
Clara,クララ,クララ (人名)
Clarence,クラレンス,クラレンス(男性名) 
claret,クラレット,クラレット(フランス産の赤ぶどう酒). 赤紫色. 赤紫
clarification,明確化,明確化 
clarify,明らかにする,明らかにする. ハッキリさせる
clarinet,クラリネット,クラリネット
clarion,クラリオン,爽やかな(声･音). 明快な. 2. クラリオン(社名) 
clarity,明瞭,明瞭. 明快. 清澄さ. 透明さ
Clark,クラーク,クラーク (人名)
Clarke,クラーク,クラーク(人名)
clash,衝突,"衝突(する). ガチャッ(音). (色彩の点で)調和しない. (cf. clash衝突する,ガチャッ(音). crash衝突する,(衝突し)壊れる･壊す. crush押しつぶす)"
clasp,しっかり握る,をしっかり握る. 留め金. 握手. 把握. を留める. (cf. grasp. clasp. seize. clench. grip. clutch)
class,クラス,クラス. 授業. クラスの生徒たち. 階級. (cf. crass)
classic,クラシック,規範となる. 古典. 伝統的な
classical,古典的な,古典の. 古典的な. 古典主義の. 最高級の. 一流の
classically,古典,古典的に 
classicism,古典主義,古典主義
classicist,古典学者,古典学者. 古典語教育主張者. 古典主義者. 古典文学者
classification,分類,分類
classified,分類された,分類された. 機密の
classifier,分類器,分類器 
classify,分類する,分類する
classmate,同級生,級友
classroom,教室,教室
classy,高級な,高級な. ハイカラな. 粋な
clatter,カチャカチャという音,がたがた(する)
Claus,クラウス,Santa Claus サンタクロース 
clause,句,条項. 個条. 箇条. (文法)節
claustrophobia,閉所恐怖症,閉所恐怖症. 密室恐怖症
claustrophobic,閉所恐怖症の,閉所恐怖症の 
clavicle,鎖骨,鎖骨(collarbone)
claw,爪,動物の爪. つめ. 人の爪はnail. (cf. カラスはcrow. 爪はclaw. 下等動物の胃袋はcraw). (cf. hoof. paw. claw foot)
clawed,ツメガエル,ツメガエル 
clay,粘土,粘土
clean,クリーン,きれいな. 清潔な
cleaner,クリーナー,掃除人. 洗剤
cleaning,クリーニング,掃除. 洗濯. クリーニング. (俗)(ゲームなどの)大敗. 惨敗. 経済上の大損. 丸損
cleanliness,清潔,きれい好き. 清潔
cleanly,きれいに,きれい好きな. 清潔に
cleanse,清める,清潔にする. 浄化する
cleanser,クレンザー,洗剤
cleansing,クレンジング,洗浄
cleanup,掃除,掃除. 一掃. 浄化運動. (俗)大もうけ. 4番打者(の)
clear,クリア,晴れた. 明るい. 澄んだ. 透明な. 明白な. 純粋な. 全くの. 証明する. 疑いを晴らす. 片付ける. 快晴. 晴れ
clearance,クリアランス,取りかたづけ. 手形交換. 掃除. 間隔. 隙間
clearer,明確に,明確に 
clearest,明確な,明確な 
clearheaded,clearheaded,頭の冴えた
clearing,クリアリング,手形交換. 清掃
clearinghouse,情報センター,情報センター 
clearly,明らかに,明瞭に. はっきりと. 明るく
Clearwater,クリアウォーター,クリアウォーター. フロリダ州西海岸の都市. 近隣のタンパやセントピーターズバーグとともにタンパ･ベイエリア大都市圏を形成
cleat,クリート,耳形綱止め. 電線押え. クリート. 靴の底がね
cleavage,開裂,裂け目
cleave,クリーブ,道を切り進む. (材木など)を切り裂く. 執着する. 割る. 突き進む. 割れる
cleaved,切断された,＜cleave. 切断された 
cleaver,クリーバー,包丁. 肉切り包丁
clef,音符記号,音符記号
cleft,割れ目,裂け目. 分裂. cleaveの過去･過去分詞. 裂けた. 割った
clematis,クレマチス,"クレマチス. 昔から人気があり, traveler's joy や old man's beard, virgin's bower などの愛称がある. テッセンはクレマチスの一品種. "
clemency,減刑,穏やかさ. 寛大さ. 温順. 仁慈. 温情の処置. 温和
clementine,クレメンタイン,クレメンタイン. 小さな甘いミカン
clench,食いしばる,くいしばる. こぶしを握り締める. (cf. grasp. clasp. seize. clench. grip. clutch)
Cleopatra,クレオパトラ,"クレオパトラ(69?-30 BC,エジプトの女王)"
clergy,聖職者,聖職者. (cf. clergy. priest. monk)
clergyman,牧師,聖職者. 牧師
cleric,聖職者,聖職者. 牧師
clerical,聖職者,聖職者の. 書記
clerk,店員,事務員
Cleveland,クリーブランド,クリーブランド(米国Ohio州の都市). イングランド北東部の州
clever,賢い　,利口な. 賢い. 上手な. 得意な
cleverly,巧妙に,うまいこと. 器用に
cleverness,賢さ,器用. 賢さ. 手際よさ. 利口
cliche,決まり文句,(陳腐な)決まり文句. 月並みな考え
click,クリック,かちりと音がする. 冗談などがピンと来る. わかる. カチ. パチリ. カチンという音. (cf. crickは寝違える)
client,クライアント,顧客. お得意様. 来訪者. 訴訟依頼人. (弁護の)依頼人
clientele,顧客,(集合的)訴訟依頼人. 顧客
cliff,崖,がけ. 崖
cliffhanger,クリフハンガー,はらはらさせるもの. はらはらする試合
climactic,クライマックスの,絶頂の. 最高潮の. クライマックスの
climate,気候,風土. 気候. 地方. 地帯. 土地
climatic,気候の,気候の. 気候上の
climax,クライマックス,最高潮. 絶頂. 最高点. 極点
climb,登る,登る. 昇る. 上る
climber,クライマー,登山者. はい登る植物(ツタなど). 出世主義者
climbing,クライミング,登山
clime,clime,地方. 国土(from northern climes. 北の国から). 気候. (clime地方･気候. crime犯罪)
clinch,クリンチ,に決着をつける. 決定する. 締付ける. 片. 決着をつける
clincher,決め手,決定的な決め手. 理由
cline,クライン,クライン. 連続変異現象. 中間にさまざまな異種がある段階的な変異の仕方
cling,しがみつく,くっついて離れない. 固守する. くっつく
clinger,clinger,まとわり付く人 
clingy,体にぴったりした,粘着性の. くっついて離れない
clinic,クリニック,臨床講義. 診療室. クリニック
clinical,臨床の,診療所の. 臨床の. 臨床治療の. 客観的な態度の
clinically,臨床的に,臨床的に 
clinician,臨床医,臨床医
clink,かちんという音,カチン. かちんという音. コップがぶつかる音
Clinton,クリントン,ビル･クリントン(米国第42代大統領 1993–2001). 民主党
clip,クリップ,切り取る. クリップ
clipboard,クリップボード,回覧板. クリップボード. 紙挟み(板)
clipper,クリッパー,"クリッパー. 19Cに発達した大型快速帆船. 積載量より速度重視. 多くのマストと帆を持つ. ティークリッパー(茶),ウールクリッパー(羊毛)と呼ばれ,. カティーサーク号(英)は保存"
clipping,クリッピング,切り抜き. 留める
clique,徒党,派閥. 徒党
cloaca,排出腔,下水. 便所
cloak,マント,覆い隠す. マント. 覆い. 口実. 覆い隠すもの
clobber,ひどく殴る,を打ちのめす. を壊す. 持ち物. 衣類
clock,クロック,掛時計. (cf. watch腕時計)
clockwise,時計回りの,時計方向に. 右回りに. 右回りの
clockwork,時計仕掛け,ぜんまいじかけ. 時計じかけ
clod,土塊,土. (土などの)塊
clog,クロッグ,の動きを妨げる. ふさぐ. 動きを妨げる. 詰まらせる. 邪魔者. おもり. 2. 木靴
cloister,回廊,修道院. 回廊. 引きこもる. 修道院生活. 隠遁生活. 静かな隠れた場所
cloistered,隠遁的な,隠遁的な
clomipramine,クロミプラミン,クロミプラミン. 抗うつ薬として用いられる有機化合物の一種
clone,クローン,"クローンの. 無性的に繁殖させる. (cf. crone. しわくちゃ婆. クローン病Crohn's disease,CD)"
cloning,クローニング,クローニング 
Clontech,クロンテック,クロンテック(社名他) 
clonus,クローヌス,(病)クローヌス. 間代(かんたい)性けいれん(ある種の神経病のため筋肉の収縮と弛緩が急激に交互に起る症状)
close,閉じる,を閉める
closed,閉じた,閉店
closely,密接に,きっちりと. 近く. 親密に
closeness,近さ,密接
closeout,見切り,見切りバーゲンセール. 蔵払い
closer,クローザー,近い. closeの比較級 
closest,最も近い　,最も近い 
closet,クローゼット,密談させる. 戸棚. 人に知られていない. 隠れた
closing,閉鎖,終りの
clostridium,クロストリジウム属,クロストリジウム属細菌
closure,閉鎖,締切り. 閉店. 閉鎖. 締め切り
clot,血餅,凝塊する. 塊
cloth,布,ラシャ. 布. 織物. 布地. 幕. 服地
clothe,衣服を着せる,に衣服を着せる. 着せる. 衣服を着せる
clothes,服,着物. 衣類
clothesline,ラリアット,物干しロープ
clothespin,洗濯挟み,(UK英)洗濯挟み(clothes peg)
clothier,服屋,服屋. 紳士服店. 服地屋. 織物仕上げ工
clothing,衣類,に衣服を着せる. 服を着せる
cloud,雲,雲
cloudless,雲のない,暗影のない. 雲のない. 晴れ渡った
cloudy,曇った,雲の. 曇った
clough,クラフ,狭い谷. 谷あい
clout,影響力,権力. 影響力. 勢力. 政治的影響力. 一殴り. (野球の)ヒット. 強打. (口)殴る. 打つ
clove,クローブ,裂けた. ちょうじ
clover,クローバー,クローバー
clown,ピエロ,おどける. からかう. 道化師. 道化役者. 田舎者
cloy,飽きが来る,あきあきさせる. 満腹させる. 飽きあきさせる
clozapine,クロザピン,クロザピン. 統合失調症の治療薬. 非定型抗精神病薬である
CLR,CLR,Common Language Runtime. 共通言語ランタイム
club,クラブ,クラブ. 部
clubby,クラブ風の,社交的な. 排他的な
clubhouse,クラブハウス,クラブ会館. 運動選手のロッカー室
cluck,鳴き声,鳴き声
clue,手掛かり,手がかり. 筋道. かぎ. 手掛かり. 糸口. 端緒. (cf. crew)
clued,clued,知っている. (の)事情に明るい(up. about. on ～)
clueless,無知な,無知な 
clump,塊,群がらせる. かたまり. 木立ち. (cf. crampけいれん)
clumsily,不器用に,無器用に
clumsy,不器用な,無器用な. 不格好な. 不器用な
clunk,一撃,(金属)ガチャン(ガーン)という音. 強打. 一撃
clunky,格好悪い　,不細工な. ぶざまな. かっこ悪い. さまにならない
clustal,Clustal,"Clustal,広く用いられている多重整列プログラム. clustalWとclustalXがある"
clustalW,clustalW,clustalプログラムの一種(cf. ClustalX)
clustalX,clustalX,多重整列プログラムの一種. (cf. clustalW)
cluster,クラスタ,かたまり. 束. 一団. 群集. (花. 果実の)房. 群がる. 房になる
clustering,クラスタリング,"房,群れ,集団を形成する. クラスター化. クラスタリング"
clutch,クラッチ,を掴む. にしがみつく. 把握. クラッチ. ピンチ. (cf. grasp. clasp. seize. clench. grip. clutch)
clutched,クラッチ式,緊張した 
clutches,クラッチ,鷲掴みする(三単現). (松葉杖はcrutches)
clutter,乱雑,取り散らかす. 散乱させる. 騒ぐ. 散乱物. 乱雑. 混乱
cm,cm,センチメートル. centimeter
CMV,CMV,Cytomegalovirus サイトメガロウイルス(ヘルペスウイルス科のひとつ. 多くの人が幼児期に不顕性感染していると言われる)
cn,CN,cn. 中華人民共和国の国別コードトップレベルドメイン
CNBC,シーエヌビシー,CNBC放送. ニュース専門放送局. Consumer News and Business Channelの頭文字. 
CNN,CNN,Cable News Network. CNN放送
CNNFN,CNN Finantial ,CNN Finantial 
CO,CO,Colorado コロラド州. CO接頭語 (共同･共通･同等の意). (数学) 余. 補(cosineなど)  
coach,コー​​チ,大型四輪馬車. 客車. 長距離バス
coached,コー​​チ,訓練された. 指導された
coaching,コー​​チング,コーチング 
coactivator,コアクチベーター,コアクチベーター(共に活性化する要素) 
coagulation,凝固,凝固
coal,石炭,石炭. (cf. call. cole. coal. kohl)
coalesce,合体する,融合する. (折れた骨が)くっつく. 合体する. 合同する. 癒着する
coalescence,合体,"合体. 合同,  (骨が)くっつくこと. "
coalition,連合,(一時的な)連合. 連立. 一体化
coarse,粗い　,粗野な. あらい. 粗末な. 粗い
coarsely,粗野に,下品に. 粗野に
coast,海岸,沿岸. 海岸. 順調に進む. 海岸に沿って航行する. 惰性で動く
coastal,沿岸の,海岸の
coaster,コー​​スター,沿岸貿易船. 滑降そり. (遊園地の)(グラス受けの)コースター
coastline,海岸線,海岸線
coat,コー​​ト,の表面をおおう. めっき. 覆う
coated,コー​​ティングされた,コーティングされた 
coating,コー​​ティング,コーティング
coattail,coattail,(燕尾服)上着のすそ. 人のおかげで. 人の助けで
coauthor,共同著作者,共同著作者(=joint author)
coax,同軸ケーブル,うまく説得する. なだめすかす(=persuade). ご機嫌取り. 同軸ケーブル(=coaxial cable)
coaxed,なだめ,上手に扱われた. なだめなだめ
cob,トウモロコシの穂軸,"cob(kάb,kˈɔb). トウモロコシの穂軸. 2. 足が短く丈夫な乗用馬. 3. 雄の白鳥. 4. ヘーゼルナッツ. 5. COB(Close Of Business)終業. (cf. cobwebクモの巣)"
cobalt,コバルト,コバルト(金属元素). コバルトブルー. cobalt blue
cobb,コブ,"人名(Ty Cobb,野球選手. 他). 2. 籐製のバスケット. 3. 日干し煉瓦のように粘土,わら,土で作った建材. 4. カモメ(sea-cob). 5. 石畳(cobblestones). (cob玉蜀黍の穂. 別語)"
cobble,玉石,(靴を)修繕する. 急いで作り上げる. 丸石(を敷く)
cobbler,靴直し,靴直し(店). パスポートや偽札を作る人
cobblestone,玉石,舗装用の丸石. 玉石
cobra,コブラ,コブラ
cobuild,COBUILD,"コウビルド英英辞典. Collins社のCOBUILD Dictionary of American English. Cobuildは共に作る,の意"
cobweb,クモの巣,クモの巣. (cf. cobとうもろこしの穂軸. 他)
coca,コカ,コカ(南米産薬用植物). その乾燥した葉
cocaine,コカイン,コカイン
coccus,球菌,"球菌. 個々の細胞の形状が球形の原核生物(真正細菌及び古細菌)のこと. 桿菌(bacillus),らせん菌(spirillum)と併せ,原核生物を形態で分類する場合の用語"
cochin,コー​​チン,コーチン. アジア産の肉用の鶏
cochlea,蝸牛管,Cochlea(kóʊkliə)(内耳の)蝸牛管. 渦巻管
cochlear,蝸牛の,(内耳の)蝸牛(殻)の
cock,コック,オンドリ(自惚れた動物の象徴). (水道などの)蛇口. コック
cockatoo,ボタンインコ,ボタンインコ. 見張り役
cocked,コック,調理された
cocker,コッカー,甘やかす. 大事にする
cockfight,闘鶏,闘鶏(試合)
cockle,ザルガイ科の二枚貝,(鳥貝. 赤貝. ムール貝などザルガイ科の二枚貝). その殻. 2. 小舟. 3. (紙･皮の)しわ. しわを寄せる. 4. 小さな暖炉. ストーブ
cockney,コックニー,ロンドン子. ロンドン言葉. ロンドン下町なまり. ロンドン子の
cockpit,コックピット,操縦室(席). 操縦席. 闘鶏場. コクピット. 戦場
cockroach,ゴキブリ,ゴキブリ(roachも)
cocktail,カクテル,カクテル
cocky,生意気な,気取った. うぬぼれた
coco,ココ,ココヤシ. ヤシ. 黒人. 頭. 有色人種
cocoa,ココア,ココア
coconstruct,共同構成概念,共同構成概念
coconut,ココナッツ,ココヤシの実. ココナツ
cocoon,まゆ,まゆ. 繭
cod,タラ,タラ. 鱈
coda,コー​​ダ,コーダ. (楽曲･楽章)終結部
coddle,coddle,(人や動物を)やさしく扱う. 大事に世話をする. 甘やかす
code,暗号,"暗号(にする). 慣例. 法典. 規約. 符号. 国際規約. (cf. cord. ひも,電源コード. code. 法典,規範,記号,暗号,コード化(cf. encode,decode). chord. 弦,和音など音楽関連,感情)"
coded,コー​​ド化された,コード化された 
codeine,コデイン,コデイン(鎮痛・催眠剤)
coder,符号器,コード化するソフト. (反. decoder)
codex,写本,(古典や聖書の)古写本
codger,おいぼれ,おじいさん. おいぼれ. じじい. 偏屈者. 変人
codification,成文化,成文化
codify,codify,法典に編む. を成文化する. 体系化する. 分類する
coding,コー​​ディング,コーディング 
codon,コドン,"コドン. 核酸の塩基配列がタンパク質を構成するアミノ酸配列へ生体内で翻訳されるときの,各アミノ酸に対応する3つの塩基配列のこと"
coed,男女共学の,共学の女子学生
coefficient,係数,係数. 率
coelicolor,コエリカラー,コエリカラー(セリカラー). Streptomyces coelicolorで放射菌の一種の名
coenzyme,コエンザイム,コエンザイム(酵素名) 
coerce,強要する,強制する. 強制して～させる. 強要する. 威圧する
coerced,強要,強要 
coercion,強制,威圧. 強制
coercive,強制的な,強制的な
coevolution,共進化,共進化 
coevolutionary,共進化,共進化 
coevolve,coevolve,(生科学)共進化する 
coexist,共存する,共存する
coexistence,共存,共存
coexpressed,共発現した,共発現した 
coexpression,共発現,共発現 
cofactor,補因子,"補因子(規定の結果を出すために他の物質と結合しなければならない,補酵素のような物質). コファクター,共通成分とも"
coffee,コー​​ヒー,コーヒー
coffeehouse,喫茶店,コーヒー店
coffer,財源,貴重品箱. 金庫. 財源. 金庫に納める. 塞き止める
coffin,棺おけ,棺. 棺桶. かんおけ. ひつぎ. (=casket). ぼろ船. 棺に入れる. 納棺する
cog,歯,(歯車の)歯
cogeneration,熱電併給,コージェネレーション
cogent,説得力のある,説得力がある. 適切な. 説得力のある. 人を承服させる. 力強い
cogently,人を説得できるほどに,(議論など)説得力をもって. 効果的に. 適切に
cognac,コニャック,コニャック
cognate,同系,同起源の. 同語源の. 同語根語. 祖先を同じくする. 同血族の
cognition,認識力,認識(力). 知識
cognitive,認識の,認識の
cognizant,認識して,認識している. 認識力のある
cohabit,cohabit,同棲する
cohabitation,同棲,同棲する. (男女の)同棲. 共同生活. (異種動物の)共同生息. 2. (特に大統領と野党出身首相との)政治的共存･協力
Cohen,コー​​エン,コーエン(人名)
cohere,密着する,首尾一貫している. 結合する. 密着する
coherence,コヒーレンス,首尾一貫性. 首尾一貫
coherent,コヒーレント,首尾一貫した. 同位相の. 密着した. 筋の通った. 一貫した
cohesin,コヒーシン,"コヒーシン. 姉妹染色分体の接着(複製された染色体を娘細胞に均等に分離する過程, sister chromatid cohesion)に主要な役割を果たすタンパク質複合体"
cohesion,凝集,粘着. 結合. 結束作用
cohesive,凝集,(日常などに)密接した. 粘着性のある. 結合性のある. 密着する
cohort,コホート,(古代ローマ)歩兵隊. 軍隊. 仲間. 相棒
coiffure,ヘアスタイル,ヘアスタイル
coil,コイル,ぐるぐる巻く. コイル
coiled,コイル状,コイル状 
coin,コイン,鋳造する. 貨幣. 小銭
coinage,貨幣,貨幣鋳造. 貨幣制度. 新語. 新造語
coincide,一致する,一致する. 同時に起こる. 性質が合う. 同じくする
coincidence,一致,偶然の一致･出合い
coincident,一致する,同時に起こる
coincidental,偶然,偶然一致する
coincidentally,偶然,偶然 
Coindre,コインドロホール,コインドロホール. ニューヨーク州ロングアイランドに20世紀初頭に建築されたフランス風城砦建築
coinfection,同時感染,同時感染 
coke,コー​​クス,"コカコーラ. コークス. (cf. corkコルク. Coke=Coca cola,コークス. caulkこーキングする). コカイン"
col,コル,コル. 鞍部. 気圧の谷. 鞍形等圧線
colander,コランダー,水切り器(わんの形の下に小さい穴がいくつもある料理用具). こし器
cold,冷たい　,風邪. 冷たい
colder,寒い　,寒い 
coldest,最も寒い　,寒い 
coldly,冷たく,冷たく
coldness,寒さ,寒さ. 寒気. 不感. 冷ややかさ. 冷感. 冷静. 冷淡
Cole,コー​​ル,"Nat King Cole. ナット･キング･コール(1919-65). アメリカの歌手,ジャズ･ピアニスト. 艶のある低音で有名.  2. アブラナの一種,葉キャベツ. 3. USS Cole米海軍のミサイル駆逐艦"
Coleman,コー​​ルマン,コールマン (人名)
coleslaw,コー​​ルスロー,キャベツサラダ
coli,大腸菌,大腸菌の (cf. Escherichia coli. E coli 大腸菌)
colic,疝痛(せんつう),(the colic)(医学). 疝痛(せんつう). さしこみ. 
Colin,コリン,コリン(人名)
coliseum,コロシアム,大競技場
colitis,大腸炎,大腸炎
collaborate,協力する,共同する. 協力する. 共同して働く. 共同研究する
collaboration,コラボレーション,共同研究. 共著. (占領国･敵国などへの)協力
collaborative,共同の,共同の. 共同作業の. 合作の
collaborator,協力者,協力者. 共編者. 敵国協力者
collage,コラージュ,"コラージュ(画面に新聞紙の切り抜きや写真をはりつけ,特殊な効果をねらう技法)"
collagen,コラーゲン,コラーゲン. 膠原質
collagenase,コラゲナーゼ,コラゲナーゼ. コラーゲン蛋白を分解する酵素の一種
collapse,崩壊,失敗(する). 崩壊(する). 暴落(する). 衰弱(する)
collar,襟,首飾り(colorとは発音異なる). えり. 首飾. 首章
collarbone,鎖骨,鎖骨. (clavicle)
collard,コラード,コラード(米国南部で栽培されるケールの一種で食用). ちりめんキャベツ
collate,照合する,対照する. のページ順をそろえる. の落丁調べをする
collateral,傍系の,付随的な. 傍系の. 対応する. 見返りの. 傍系親. 縁者
colleague,同僚,同僚. 仲間
collect,集める,を集める. を徴収する. (cf. collect. 集める. correct. 訂正する)
collectable,収集可能な,収集価値のあるもの. マニアが収集するもの
collected,集めた,落ち着いた. 集まった. 集めた. 収集した
collectible,コレクター,グッズ. 収集された 
collecting,収集,収集 
collection,コレクション,収集. 取り立て. 集じん
collective,集合的な,全体的な. 共同の. 集団の
collectively,集合的に,集合的に 
collectivism,集産主義,集産主義(体制)
collector,コレクター,光捕集器. 収集家. 集金人
colleen,少女,少女. 娘
college,大学,大学
collegial,合議,同僚が平等に責任(権限)を有する
collegiate,大学の,大学(カレッジ)の. 大学生らしい. 大学生用の. 大学(組合)組織の
colliculi,丘,"小隆起,丘 "
collide,衝突する,衝突する. ぶつかる. 一致しない
collided,衝突,衝突 
collie,コリー,コリー(羊の番犬)
collier,コリアー,(炭鉱の)坑夫. 石炭船
Collins,コリンズ,コリンズ(人名)
collision,衝突,衝突
collocation,コロケーション,"連語法. (文法)語の配列,連語,コロケーション"
colloid,コロイド,"コロイド. 極微細な粒子が液体･気体･固体などの媒体中に分散している状態(colloidal dispersion). 分散している粒子を分散質,媒体を分散媒という. 膠質ともいう"
colloquial,口語の,日常会話の. 口語の. 話しことばの. くだけた
colloquialism,口語表現,口語体の語句. 話しことば
colloquy,会話,(正式な)協議. 会談. (格式張った)会話. 対話
collude,共謀する,共謀する
collusion,共謀,共謀. なれ合い. 野合. 通謀詐害(両当事者の間に対立がないのに双方の合意のうえで訴訟を起こすこと)
collusive,共謀,なれ合いの. 共謀の
colocalization,共局在化,同時局在. 共局在性. 共局在 
colocalize,共存する ,共存する 
cologne,コロン,コロン. オーデコロン
Colombia,コロンビア,コロンビア共和国 Republic of Colombia. 首都ボゴタ.  (Columbiaアメリカ合衆国の古名他は別語)
Colombian,コロンビアの,コロンビア(国)の 
Colombo,コロンボ,コロンボ. スリランカの最大都市でかつての首都. (現在はスリジャヤワルダナプラコッテ)
colon,コロン,コロン(:). 2. 植民農業者. 大農園所有者. 3. コロン(コスタリカなどの通貨単位). 4. 結腸(盲腸・直腸をのぞいた大腸の大部分)
colonel,大佐,連隊長. 大佐. 部長
colonial,コロニアル,植民地の
colonialism,植民地主義,植民地主義. 植民地化政策
colonialist,植民地主義者,植民地主義者
colonist,入植者,(海外)移住民. 入植者. 植民地開拓者
colonization,植民地化,植民地化. 入植
colonize,植民地化する,植民する
colonized,植民地化,植民 
colonnade,コロネード,(ギリシャ建築などに見られる)列柱. (道路両脇の)並木
colonnaded,列柱のある,列柱のある 
colony,植民地,植民地. 移民
color,色,色. 色のついた. 色をつける. (cf. collar. 襟)
Colorado,コロラド州,"コロラド州,CO"
coloration,着色,着色(法). 色合い. 血色. 天然の色. 音声の調子. 考え方. 態度 
colorblind,色盲,色盲 
colorectal,結腸直腸の,結腸直腸の 
colored,着色された,色づいた. 着色した. 有色の
colorful,カラフル,色彩ゆたかな
coloring,着色,着色剤. 色合い
colorist,カラリスト,"カラリスト,彩色者"
colorless,無色,生気のない. 青ざめた
colors,色,(pl. )国旗. 軍旗
colossal,巨大な,巨大な. 素晴らしい. 途方もない
Colosseum,コロシアム,コロッセウム. 1世紀ローマ帝政期にローマに造られた円形闘技場. 火山灰のローマン･コンクリートで建造. 長径188mの楕円形. 高さ48m. 約5万人収容
colossus,巨人,巨像. 巨大な物. 巨人
colostrum,初乳,初乳 
colour,色,colorの英式綴り
coloured,着色された,着色された 
colourful,カラフル,colorfulの英式綴り
colt,コルト,子馬
Columbia,コロンビア,"District of Columbiaコロンビア特別区 2. アメリカ合衆国の古名 3. サウスカロライナ州の都市他 4. Columbia University(New York市). (Colombia,コロンビア共和国は別語)"
Columbian,コロンブスの,コロンブスの. アメリカの 
columbine,オダマキ,オダマキ(植物)
Columbus,コロンブス,"Christopher Columbus. コロンブス. イタリア出身の探検家. 西廻り航路を発想. スペインのイサベル女王の支援を受け,1492年サン･サルバドル島を発見した"
column,コラム,コラム. 特別記事. 囲み記事. 論説. 欄. 支柱. 縦の行
columnar,円柱状の,コラム状の. 円柱の. 円柱状に作った. 縦欄式に印刷した. 柱の
columnist,コラムニスト,コラムニスト. 特別寄稿者
COM,COM,インターネット上の代表的なドメイン名. 2. Company. 会社 
coma,昏睡,(kóʊmə)pl. comae(-miː). 1. (天文)コマ. 彗星の頭部で核の周囲の星雲状のもの. 2. (植物学)種髪(しゆはつ)ワタなどの種子の綿毛. 3. (医学)昏睡(状態)
comatose,昏睡状態の,昏睡状態の
comb,櫛,くしですく. くし. 波頭. 徹底的に捜す
combat,戦闘,と戦う. 戦う. 論戦. と闘う
combatant,戦闘員,戦闘員
combating,闘う,闘い 
combative,闘争的な,闘争的な
combination,組み合わせ,結合. 組み合わせ
combinatorial,組み合わせの,組み合わせの 
combine,コンバイン,を結合させる. 組み合わせる. 結合する
combined,合わせた,一体とした. 結合した
combining,合成,結合 
combo,コンボ,コンボ(小編成のジャズバンド)
combust,燃やす,燃やす 
combustible,可燃性の,燃えやすい. 可燃性の. 可燃性
combustion,燃焼,燃焼. 激動. 騒動. 酸化
Comcast,コムキャスト,コムキャスト. ペンシルベニア州フィラデルフィアに本部を置くケーブルテレビ･情報通信･メディア企業
come,来る,来る. (イメージ:到達点に焦点:ある対象に近づいていく･くる)
comeback,戻ってくる,復帰. 返り咲き. カムバック. 再起
comedian,コメディアン,コメディアン
comedic,喜劇の,喜劇の
comedienne,コメディアン,喜劇女優. 女性コメディアン
comedy,コメディ,喜劇
comely,器量のいい,美しい. みめよい. 顔立ちのよい. 器量のいい. ふさわしい
comer,コー​​ナー,将来有望な人(物)
comestible,食べられる,食料品
comet,彗星,(天体)すい星. 彗星. ほうき星
comeuppance,当然の報い,当然の罰(報い)
comfort,コンフォート,を慰める. 元気付ける. 安心させる. 楽しみ
comfortable,快適,気持ちのよい. 快適な. 気楽な. 慰めとなる. 掛け布団
comfortably,楽に,気持よく
comforter,慰安者,慰める物. 慰安者. おしゃぶり. 毛糸の襟巻き. 掛け布団
comforting,慰める,元気づける. 励みになる
comfy,快適な,(俗)comfortable快適な 
comic,コミック,喜劇の. こっけいな. マンガ(の). 漫画
comical,コミカル,おもしろい. こっけいな
comically,こっけいに,こっけいに 
